"Vessel","Cruise","Haul","lont","latt","depth","btemp","slope","atemp","color","speed","sort","phi","aO2","aturb","apH","asal","area","area.name","AKskate","ALskate","ATF","Kam","Gturb","Phal","FHS","YFS","NRS","AKplaice","Sable","Ggren","Pgren","Pcod","Shortraker","POP","RE_BS","Scrab","Pollock","SST","N1","Evenness","Porifera","Paragorgia","Plexauridae","Soft_corals","Primnoa","Antipatharia","WhipsPens","Bamboo","pH","Turbidity","O2","Light","SALINITY","Sponge_unid","Aphrocallistes","Hexac_vase","Demo_high","Demo_low"
57,200202,2,-928525.8873,723715.7144,1018,2.7,8.241019249,2.990746975,1287.006348,0.015930066,1.704964042,5.172167778,86.09777832,0.193211377,7.597717285,33.87939835,2,"BCPC",0,0.351022842,0,1.748731978,9.081918265,0,0,0,0,0,6.969398977,120.2348968,0.01148802,0,0,0,0,0,0,0.516960913,4.056271464,0.568297747,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,3,-922204.2375,735756.1651,219,3.5,3.919157982,3.301661253,1210.161011,0.015648495,1.719133496,4.557523727,150.2144318,0.179715171,7.672519684,33.7524147,2,"BCPC",0.056444823,7.772922478,9.742611608,4.450909467,0.911348702,0,2.548836531,0,0,0,0.299863121,0,0,4.791930272,0,86.36939844,0,0,1.434639247,0,4.117192434,0.363076418,0.023518676,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,4,-923015.569,720885.9118,877,2.8,6.945379734,3.085636139,1242.548462,0.016752565,1.718632817,4.980501175,106.7525787,0.184096858,7.619637966,33.8205452,2,"BCPC",0,0.071397009,0,2.674362538,6.924904808,0,0,0,0,0,3.811874206,91.19455243,0.001815178,0,0,0,0,0,0,1.194992311,4.486819327,0.572088452,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,5,-994970.1488,783290.9721,313,3.5,1.677350163,3.47740078,972.4865723,0.020076938,1.909249902,5.157601833,141.4103241,0.216723025,7.652272224,33.78209305,4,"PCZC",0,16.78774354,14.76079895,22.43673828,8.113176381,13.56892313,0,0,0,0,0,402.1501267,0,7.287284175,8.669169174,6.787970259,2.842040828,0,1.228042333,0,4.676441227,0.303210187,28.20448874,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,6,-995543.2775,780088.8504,647,3.4,5.697101116,3.447849989,1000.643005,0.020694247,1.922078252,5.309331894,134.0490417,0.216594875,7.641576767,33.82521439,4,"PCZC",0,0.796269604,0,3.536457176,13.47990928,0,0,0,0,0,1.935416868,56.71366499,0,0,0,0,0,0,0,30.65496292,7.333659827,0.554728381,0.370081176,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,7,-973894.6139,779718.0561,509,3.6,5.309479713,3.411165953,971.2265625,0.016686888,2.117560625,5.252268314,132.9662323,0.340162724,7.637368679,33.69894791,4,"PCZC",0,10.71182836,16.89172934,94.89982245,8.654868619,3.388871246,4.970986042,0,0,0,27.27576733,19.18626191,0,0,3.572614288,0,0,0,0,43.87579331,10.18651677,0.582199522,0.483565974,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,8,-961162.8793,775861.7411,825,2.9,3.135953188,3.285063028,983.9557495,0.016783334,2.216985703,5.287437916,79.10011292,0.505838156,7.578343391,33.63611603,4,"PCZC",0,1.83044799,0,4.863849258,4.407767736,0,0,0,0,0,0,40.32189193,0,0,0,0,0,0,0,0,5.358193706,0.668011605,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,9,-935510.4808,795455.0866,516,NA,2.906898975,3.359642267,890.4533081,0.005126465,2.110470772,3.218746185,64.89324951,0.575013876,7.594644547,33.25146484,3,"PC",0,10.63926297,27.12589863,25.18381095,13.6843298,3.726644614,0,0,0,0,21.20464216,4.338032816,0,0,4.718006493,0,0,0,0.683424878,20.3971981,14.62137481,0.767567423,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,10,-929498.5085,771570.9282,305,3.4,7.605256557,3.090883255,1010.038879,0.014528186,1.93660748,3.765991688,47.62898636,0.488118529,7.574511528,33.47387695,3,"PC",0,4.879151251,55.41619969,6.786455831,3.791126614,9.675330839,0.137764271,0,0,0,0,0,0,8.312821329,1.716835039,13.91210399,0.688299519,0,0,0,9.928339962,0.491610534,0.367371388,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
57,200202,12,-888517.3248,766114.7532,221,3.7,0.155956447,3.679837465,941.8126221,0.006750287,1.738646507,2.77961278,221.1179504,0.173218831,7.858309269,33.20460892,12,"OS",2.295436405,2.025545426,17.78009054,12.36046159,0,1.645517119,11.6134906,0,0.572496016,0,0,0,0,3.276858146,0,34.82956712,0,0,3.304119861,0,8.520372551,0.625847206,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,-999,-999,-999,-999,-999
